name,commits,lastCommit
athou/commafeed,2944,2023-09-05T07:10:26
techempower/frameworkbenchmarks,13905,2023-08-30T09:47:07
forge/roaster,947,2023-08-16T03:11:04
udinic/accountauthenticator,29,2023-03-04T05:48:56
graphhopper/jsprit,2156,2023-05-23T08:40:35
maxmind/geoip2-java,1074,2023-09-05T02:43:19
openscoring/openscoring,603,2022-09-25T07:29:35
biojava/biojava,6763,2023-08-28T04:42:10
quantumbadger/redreader,2175,2023-09-03T09:59:59
openzipkin/brave,1882,2023-07-14T08:43:56
haehnchen/idea-php-symfony2-plugin,3373,2023-09-05T04:35:02
crate/crate,14474,2023-09-05T03:49:21
spring-guides/gs-rest-service,381,2023-05-31T03:18:04
digitalpebble/storm-crawler,1815,2023-01-10T05:17:15
ronmamo/reflections,157,2023-06-15T05:15:48
facebook/buck,22696,2023-04-19T11:32:59
gwtproject/gwt,9439,2023-07-03T01:48:40
lookfirst/sardine,606,2023-07-11T02:53:33
code4craft/webmagic,1219,2023-06-22T03:23:44
jitsi/jitsi,13231,2023-08-05T09:08:42
jitsi/libjitsi,2490,2023-07-23T10:09:44
morphiaorg/morphia,3409,2023-09-05T03:16:48
eugenp/tutorials,28336,2023-09-06T12:41:18
spring-projects/spring-data-elasticsearch,1836,2023-09-05T06:25:24
apache/cloudstack,36129,2023-09-01T04:44:34
arx-deidentifier/arx,4283,2023-04-06T06:34:16
opensourcebim/bimserver,4972,2023-05-15T08:57:05
googlemaps/android-maps-utils,1137,2023-08-23T07:27:58
consulo/consulo,107488,2023-09-01T06:42:16
wildfly/quickstart,2692,2023-09-05T12:30:30
j-easy/easy-random,1249,2023-09-03T01:45:43
google/auto,1671,2023-09-05T02:43:09
jboss-javassist/javassist,992,2022-10-02T03:49:13
zeroturnaround/zt-exec,251,2023-04-16T08:36:52
nextcloud/news-android,3304,2023-09-05T01:53:22
centic9/jgit-cookbook,341,2023-08-04T07:52:29
javalite/javalite,2794,2023-08-04T08:47:10
bcgit/bc-java,14992,2023-08-25T12:53:49
openhft/chronicle-queue,7516,2023-09-01T05:56:01
markusfisch/shadereditor,703,2023-07-24T09:09:43
sksamuel/scrimage,1293,2023-08-12T08:18:43
glyptodon/guacamole-client,6608,2023-07-17T10:36:54
spring-io/initializr,2209,2023-08-25T08:52:48
alexxiyang/shiro-redis,235,2023-04-15T07:28:59
apache/logging-log4j2,12892,2023-09-05T06:00:09
mycelium-com/wallet-android,10042,2023-06-08T07:10:12
ff4j/ff4j,1413,2023-06-26T10:41:49
joelittlejohn/jsonschema2pojo,1319,2023-08-08T03:04:34
openfeign/feign,1408,2023-09-05T07:04:42
dropbox/dropbox-sdk-java,660,2023-08-10T09:31:40
stanfordnlp/corenlp,17080,2023-03-16T12:44:27
erickok/transdroid,834,2022-11-21T10:12:00
mik3y/usb-serial-for-android,261,2023-08-25T06:51:25
keycloak/keycloak,22763,2023-09-05T11:42:30
immutables/immutables,2619,2023-09-04T06:57:49
mapstruct/mapstruct-examples,141,2023-04-23T08:17:47
bumptech/glide,2926,2023-09-03T06:39:04
testfx/testfx,1100,2023-08-29T11:07:23
dependencytrack/dependency-track,3936,2023-09-02T03:22:59
easymock/objenesis,869,2023-08-28T12:23:12
ontop/ontop,15081,2023-08-23T04:37:17
verbalexpressions/javaverbalexpressions,122,2023-07-02T03:49:14
hazelcast/hazelcast-code-samples,1384,2023-08-14T05:55:38
spring-guides/gs-spring-boot,228,2023-07-31T03:39:12
wmixvideo/nfe,2556,2023-09-05T01:16:07
stagemonitor/stagemonitor,1923,2023-02-20T01:38:10
jchambers/pushy,1572,2023-01-01T04:38:57
huaban/jieba-analysis,111,2023-03-24T02:04:21
brettwooldridge/nuprocess,435,2023-02-01T02:01:00
bobbylight/rsyntaxtextarea,962,2023-08-27T08:02:06
languagetool-org/languagetool,70501,2023-09-05T11:26:07
awslabs/aws-sdk-android-samples,222,2023-07-14T06:39:31
alibaba/otter,155,2023-05-31T06:18:32
katzer/cordova-plugin-local-notifications,862,2023-03-19T05:21:06
protegeproject/protege,4076,2023-05-22T01:27:56
komoot/photon,1167,2023-07-28T04:00:59
peergos/peergos,5286,2023-09-05T08:37:55
apiman/apiman,4989,2023-07-07T08:28:03
google/compile-testing,461,2023-09-05T02:11:09
eirslett/frontend-maven-plugin,805,2023-07-02T01:24:52
checkstyle/checkstyle,12773,2023-09-05T04:10:40
michel-kraemer/gradle-download-task,563,2023-08-27T12:59:06
atlauncher/atlauncher,3455,2023-08-30T10:30:04
alibaba/jstorm,334,2023-06-16T07:13:49
real-logic/simple-binary-encoding,3530,2023-09-01T03:00:41
ical4j/ical4j,2652,2023-09-01T09:25:49
jcabi/jcabi-aspects,964,2023-05-30T02:41:04
senzhk/adbkeyboard,68,2022-10-09T03:41:44
loiane/curso-java-basico,204,2022-11-23T09:11:12
cjlin1/libsvm,1092,2023-07-08T02:08:14
codelibs/fess,4269,2023-09-05T12:49:07
corfudb/corfudb,3460,2023-09-05T10:27:46
openhft/java-thread-affinity,563,2023-08-31T02:45:55
konsoletyper/teavm,2843,2023-09-05T07:26:22
rometools/rome,779,2023-06-21T07:43:40
openhft/java-runtime-compiler,284,2023-08-31T02:46:05
torakiki/pdfsam,1425,2023-08-07T01:07:56
siom79/japicmp,975,2023-09-02T08:59:14
adoptopenjdk/jitwatch,1041,2023-07-11T07:15:36
kwhat/jnativehook,1050,2023-06-23T05:40:46
fxmisc/richtextfx,1404,2023-09-05T12:18:35
novoda/spikes,2987,2022-09-13T12:50:39
brettwooldridge/hikaricp,2835,2023-02-01T07:57:47
pentaho/pentaho-kettle,23224,2023-09-05T09:59:26
nlpchina/elasticsearch-analysis-ansj,362,2023-05-30T02:07:35
jpush/jpush-api-java-client,739,2023-08-26T11:02:56
hubspot/singularity,12249,2022-11-18T12:41:01
briandilley/jsonrpc4j,347,2023-05-25T05:31:01
google/jimfs,554,2023-09-05T02:48:04
drklo/telegram,507,2023-08-25T05:50:34
linkedin/ambry,3639,2023-09-05T05:42:34
